im_path,im_size,im_net_mask,joints
00089.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 28, 26], [1, 39, 46], [2, 44, 74]]]]"
00008.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 504, 355], [1, 519, 383], [2, 538, 417]]]]"
00009.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 498, 351], [1, 511, 382], [2, 526, 416]]]]"
00010.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 495, 351], [1, 504, 382], [2, 518, 419]]]]"
00011.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 489, 351], [1, 495, 380], [2, 506, 415]]]]"
00012.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 484, 347], [1, 491, 378], [2, 495, 411]]]]"
00013.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 481, 351], [1, 483, 382], [2, 485, 417]]]]"
00014.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 474, 349], [1, 474, 382], [2, 474, 420]]]]"
00015.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 469, 348], [1, 466, 382], [2, 461, 418]]]]"
00016.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 462, 341], [1, 461, 368], [2, 449, 406]]]]"
00017.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 478, 309], [1, 465, 339], [2, 442, 370]]]]"
00018.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 508, 252], [1, 496, 280], [2, 476, 313]]]]"
00019.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 549, 210], [1, 528, 239], [2, 510, 269]]]]"
00020.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 592, 173], [1, 569, 195], [2, 552, 222]]]]"
00021.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 644, 136], [1, 618, 151], [2, 596, 182]]]]"
00022.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 692, 105], [1, 665, 120], [2, 642, 147]]]]"
00023.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 701, 77], [1, 692, 105], [2, 679, 128]]]]"
00024.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 699, 40], [1, 700, 66], [2, 685, 100]]]]"
00025.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 692, 21], [1, 702, 49], [2, 696, 81]]]]"
00026.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 690, 20], [1, 694, 47], [2, 700, 82]]]]"
00027.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 687, 20], [1, 693, 44], [2, 705, 74]]]]"
00028.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 680, 20], [1, 686, 44], [2, 704, 77]]]]"
00029.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 666, 20], [1, 681, 47], [2, 703, 74]]]]"
00035.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 565, 132], [1, 600, 129], [2, 628, 111]]]]"
